"tweetid",           "userid",                                    "user_display_name",                           "user_screen_name",                           "user_reported_location","user_profile_description",                                                                                                                      "user_profile_url",        "follower_count","following_count","account_creation_date","account_language","tweet_text",                                                "tweet_time",      "tweet_client_name","in_reply_to_tweetid","in_reply_to_userid","quoted_tweet_tweetid","is_retweet","retweet_userid","retweet_tweetid","latitude","longitude","quote_count","reply_count","like_count","retweet_count","hashtags","urls","user_mentions","poll_choices"
"891655985818992640","BqO5SEFJJES3iQwLvE30hQTmi9WNen+8zUmcUGbSLY=","BqO5SEFJJES3iQwLvE30hQTmi9WNen+8zUmcUGbSLY=","BqO5SEFJJES3iQwLvE30hQTmi9WNen+8zUmcUGbSLY=","Estados Unidos","#Trump #MAGA #DrainTheSwamp #AmericaFirst Proud mother of a wounded soldier. Vegan. Blessed with twins, a beautiful grandson, & 2 great dogs Follow me","https://t.co/XZtuPeOA9N","890","3759","2017-07-27","es",                                                 "RT lizstiv: IT'S TIME! https://t.co/jStDUpyNDu #maga #jud","2017-07-30 13:45","IFTTT","","","891259245106278400","False","","","absent","absent","0.0","0.0","0.0","0.0","[maga, jud]","[https://twitter.com/realdonaldtrump/status/891259245106278400]","[]",""
"898220124011888640","BqO5SEFJJES3iQwLvE30hQTmi9WNen+8zUmcUGbSLY=","BqO5SEFJJES3iQwLvE30hQTmi9WNen+8zUmcUGbSLY=","BqO5SEFJJES3iQwLvE30hQTmi9WNen+8zUmcUGbSLY=","Estados Unidos","#Trump #MAGA #DrainTheSwamp #AmericaFirst Proud mother of a wounded soldier. Vegan. Blessed with twins, a beautiful grandson, & 2 great dogs Follow me","https://t.co/XZtuPeOA9N","890","3759","2017-07-27","es","#ross BREAKING : Gettysburg Tells Liberals “NO!!!” https://t.co/0RUO73sf5I #ros https://t.co/MtlPPFoICz","2017-08-17 16:29","IFTTT","","","","False","","","absent","absent","0.0","0.0","0.0","0.0","[ross, ros]","[http://ift.tt/2wTlunO]","[]",""
"898598803166646272","BqO5SEFJJES3iQwLvE30hQTmi9WNen+8zUmcUGbSLY=","BqO5SEFJJES3iQwLvE30hQTmi9WNen+8zUmcUGbSLY=","BqO5SEFJJES3iQwLvE30hQTmi9WNen+8zUmcUGbSLY=","Estados Unidos","#Trump #MAGA #DrainTheSwamp #AmericaFirst Proud mother of a wounded soldier. Vegan. Blessed with twins, a beautiful grandson, & 2 great dogs Follow me","https://t.co/XZtuPeOA9N","890","3759","2017-07-27","es","#ross BREAKING : Steve Bannon is Out https://t.co/RWzr4AIdxl #ros https://t.co/MSLf7tt8Bb","2017-08-18 17:33","IFTTT","","","","False","","","absent","absent","0.0","0.0","1.0","0.0","[ross, ros]","[http://ift.tt/2v8p5w9]","[]",""
"897152105391239168","BqO5SEFJJES3iQwLvE30hQTmi9WNen+8zUmcUGbSLY=","BqO5SEFJJES3iQwLvE30hQTmi9WNen+8zUmcUGbSLY=","BqO5SEFJJES3iQwLvE30hQTmi9WNen+8zUmcUGbSLY=","Estados Unidos","#Trump #MAGA #DrainTheSwamp #AmericaFirst Proud mother of a wounded soldier. Vegan. Blessed with twins, a beautiful grandson, & 2 great dogs Follow me","https://t.co/XZtuPeOA9N","890","3759","2017-07-27","es","#ross Eric Holder Tries to Call Out Trump on Charlottesville and It BACKFIRES! https://t.co/DnufOChsfE #ros https://t.co/u1arxiwrLr","2017-08-14 17:45","IFTTT","","","","False","","","absent","absent","0.0","0.0","0.0","0.0","[ross, ros]","[http://ift.tt/2vxxlcL]","[]",""
"892363004888666114","BqO5SEFJJES3iQwLvE30hQTmi9WNen+8zUmcUGbSLY=","BqO5SEFJJES3iQwLvE30hQTmi9WNen+8zUmcUGbSLY=","BqO5SEFJJES3iQwLvE30hQTmi9WNen+8zUmcUGbSLY=","Estados Unidos","#Trump #MAGA #DrainTheSwamp #AmericaFirst Proud mother of a wounded soldier. Vegan. Blessed with twins, a beautiful grandson, & 2 great dogs Follow me","https://t.co/XZtuPeOA9N","890","3759","2017-07-27","es","#ross President Trump is Fighting a Culture War Against the Radical Left https://t.co/zoM0Gstnzo #ros https://t.co/HgZSa2GjMd","2017-08-01 12:34","IFTTT","","","","False","","","absent","absent","0.0","0.0","0.0","0.0","[ross, ros]","[http://ift.tt/2hjT2rJ]","[]",""
"897506401509154817","BqO5SEFJJES3iQwLvE30hQTmi9WNen+8zUmcUGbSLY=","BqO5SEFJJES3iQwLvE30hQTmi9WNen+8zUmcUGbSLY=","BqO5SEFJJES3iQwLvE30hQTmi9WNen+8zUmcUGbSLY=","Estados Unidos","#Trump #MAGA #DrainTheSwamp #AmericaFirst Proud mother of a wounded soldier. Vegan. Blessed with twins, a beautiful grandson, & 2 great dogs Follow me","https://t.co/XZtuPeOA9N","890","3759","2017-07-27","es","#ross WHOA! Trump Just Shredded the HELL out of Obama https://t.co/MDYFkeobuD #ros https://t.co/dRJWozHB1k","2017-08-15 17:12","IFTTT","","","","False","","","absent","absent","0.0","0.0","0.0","0.0","[ross, ros]","[http://ift.tt/2vYKgp1]","[]",""
"891747595101622272","BqO5SEFJJES3iQwLvE30hQTmi9WNen+8zUmcUGbSLY=","BqO5SEFJJES3iQwLvE30hQTmi9WNen+8zUmcUGbSLY=","BqO5SEFJJES3iQwLvE30hQTmi9WNen+8zUmcUGbSLY=","Estados Unidos","#Trump #MAGA #DrainTheSwamp #AmericaFirst Proud mother of a wounded soldier. Vegan. Blessed with twins, a beautiful grandson, & 2 great dogs Follow me","https://t.co/XZtuPeOA9N","890","3759","2017-07-27","es","#ross CNN Thinks Trump is RACIST for Fighting Deadly MS-13 Gang https://t.co/ChfiDUhk5G #ros https://t.co/CdGcm3WeLP","2017-07-30 19:49","IFTTT","","","","False","","","absent","absent","0.0","0.0","0.0","0.0","[ross, ros]","[http://ift.tt/2eZ6S1O]","[]",""
"896768202822352897","BqO5SEFJJES3iQwLvE30hQTmi9WNen+8zUmcUGbSLY=","BqO5SEFJJES3iQwLvE30hQTmi9WNen+8zUmcUGbSLY=","BqO5SEFJJES3iQwLvE30hQTmi9WNen+8zUmcUGbSLY=","Estados Unidos","#Trump #MAGA #DrainTheSwamp #AmericaFirst Proud mother of a wounded soldier. Vegan. Blessed with twins, a beautiful grandson, & 2 great dogs Follow me","https://t.co/XZtuPeOA9N","890","3759","2017-07-27","es","#ross SHOCK VIDEO : CNN Analyst Predicts the Government Will KILL Trump https://t.co/5wBNxEYHGY #ros https://t.co/FgAqZC5uio","2017-08-13 16:19","IFTTT","","","","False","","","absent","absent","0.0","0.0","0.0","0.0","[ross, ros]","[http://ift.tt/2uDt6t4]","[]",""
"893798081501818880","BqO5SEFJJES3iQwLvE30hQTmi9WNen+8zUmcUGbSLY=","BqO5SEFJJES3iQwLvE30hQTmi9WNen+8zUmcUGbSLY=","BqO5SEFJJES3iQwLvE30hQTmi9WNen+8zUmcUGbSLY=","Estados Unidos","#Trump #MAGA #DrainTheSwamp #AmericaFirst Proud mother of a wounded soldier. Vegan. Blessed with twins, a beautiful grandson, & 2 great dogs Follow me","https://t.co/XZtuPeOA9N","890","3759","2017-07-27","es","#ross HOLY MOLY! Obamacare Take ANOTHER Huge Hit! https://t.co/wxFugeRFtz #ros https://t.co/3n5kiRXfbF","2017-08-05 11:37","IFTTT","","","","False","","","absent","absent","0.0","0.0","0.0","0.0","[ross, ros]","[http://ift.tt/2vBYI6q]","[]",""
"898123156417896448","BqO5SEFJJES3iQwLvE30hQTmi9WNen+8zUmcUGbSLY=","BqO5SEFJJES3iQwLvE30hQTmi9WNen+8zUmcUGbSLY=","BqO5SEFJJES3iQwLvE30hQTmi9WNen+8zUmcUGbSLY=","Estados Unidos","#Trump #MAGA #DrainTheSwamp #AmericaFirst Proud mother of a wounded soldier. Vegan. Blessed with twins, a beautiful grandson, & 2 great dogs Follow me","https://t.co/XZtuPeOA9N","890","3759","2017-07-27","es","#ross FLASHBACK : Watch Obama Defend ISIS and Attack Christianity! https://t.co/bTILdFM2lR #ros https://t.co/NCnxmi99qe","2017-08-17 10:03","IFTTT","","","","False","","","absent","absent","0.0","0.0","0.0","1.0","[ross, ros]","[http://ift.tt/2i8wb2v]","[]",""
